ENGLISH: aunt, 0.0, 0.0035500000000000015, 0.009997893112500001, 0.01903411778856294, 0.03056590630056927, 0.04463424193155237, 0.06135560712879911, 0.08087694061349804, 0.10333666205989736, 0.12882790886108014, 0.15736283765161554, 0.18883928375187647, 0.2230132441139588, 0.2594822329735457, 0.2976849894738239, 0.33692171103834995, 0.3763957220461534, 0.4152727821034854, 0.4527494617064731, 0.48811898538119863, 0.5208230785239121, 0.5504818284052663, 0.576899108017147, 0.600046634871728, 0.6200334397142772, 0.6370686560626467, 0.6514244932915101, 0.66340403177749, 0.6733160942500213, 0.6814575526422294, 0.6881022492061634, 0.6934951754230144, 0.6978504677706353, 0.701351945413573, 0.7041551804418389, 0.7063903644123005, 0.7081654706986812, 0.7095693958478624, 0.7106748962970327, 0.7115412278187248, 0.7122164539175204, 0.7127394251957067, 0.713141451748336, 0.7134477004010221, 0.7136783519369901, 0.7138495530079286, 0.7139741949160013, 0.7140625479877256, 0.7141227765001833, 0.7141613554490388
ENGLISH: hunt, 0.0, -5.99999999999999E-5, -3.199207399999997E-4, -8.474918220531748E-4, -0.001668336197558241, -0.0027842998552223075, -0.004184685797762079, -0.005853068125196551, -0.007771283113522178, -0.009921574967990966, -0.012287507228460889, -0.01485403302164699, -0.017606993010897565, -0.02053224655184866, -0.023614617282527638, -0.026836831013366955, -0.03017862397882924, -0.03361618694287717, -0.03712207311109917, -0.04066563167585264, -0.044213942182268415, -0.0477331363932911, -0.051189926852418244, -0.05455313288443095, -0.05779501100475006, -0.06089224925189517, -0.06382655591195917, -0.06658484278158132, -0.06915905681794196, -0.07154574515612515, -0.07374544786890945, -0.07576200591101627, -0.077601855281121, -0.07927335861400073, -0.08078620642709676, -0.08215090442247715, -0.083378351409965, -0.08447950442814764, -0.08546512286641729, -0.08634558104771464, -0.08713073807248674, -0.08782985413264205, -0.08845154351501198, -0.08900375580193404, -0.08949377813055583, -0.08992825266561982, -0.09031320460541176, -0.09065407704886864, -0.09095576989928572, -0.09122268067609804
DUTCH: munt, 0.0, -5.99999999999999E-5, -3.199207399999997E-4, -8.538716005855318E-4, -0.0016980588154052317, -0.0028676487313300933, -0.004366918909659584, -0.006195176475309573, -0.008349908375690968, -0.01082805060893689, -0.013625934723612225, -0.01673829562682559, -0.020156652890569313, -0.023867373165248028, -0.027849751931563506, -0.03207448321860017, -0.03650287835597699, -0.04108711823983864, -0.045771667568430485, -0.050495765662962176, -0.05519668947363027, -0.05981332575950125, -0.0642895411165108, -0.0685769114008404, -0.0726365343063671, -0.07643984317778794, -0.07996851045217288, -0.0832136405314451, -0.08617449643181212, -0.08885699458440062, -0.09127215892344717, -0.09343466940907758, -0.09536158610014213, -0.09707128576050894, -0.09858261629367805, -0.0999142542618584, -0.10108424002063068, -0.10210966091123738, -0.10300645311839557, -0.10378929537974103, -0.10447157143366233, -0.10506538208918664, -0.1055815916148479, -0.10602989653063227, -0.10641890775666069, -0.10675623942131451, -0.10704859950381986, -0.10730187894595701, -0.10752123698340496, -0.1077111812844879
DUTCH: punt, 0.0, -5.99999999999999E-5, -3.199207399999997E-4, -8.538716005855318E-4, -0.0016980588154052317, -0.0028676487313300933, -0.004366918909659584, -0.006195176475309573, -0.008349908375690968, -0.01082805060893689, -0.013625934723612225, -0.01673829562682559, -0.020156652890569313, -0.023867373165248028, -0.027849751931563506, -0.03207448321860017, -0.03650287835597699, -0.04108711823983864, -0.045771667568430485, -0.050495765662962176, -0.05519668947363027, -0.05981332575950125, -0.0642895411165108, -0.0685769114008404, -0.0726365343063671, -0.07643984317778794, -0.07996851045217288, -0.0832136405314451, -0.08617449643181212, -0.08885699458440062, -0.09127215892344717, -0.09343466940907758, -0.09536158610014213, -0.09707128576050894, -0.09858261629367805, -0.0999142542618584, -0.10108424002063068, -0.10210966091123738, -0.10300645311839557, -0.10378929537974103, -0.10447157143366233, -0.10506538208918664, -0.1055815916148479, -0.10602989653063227, -0.10641890775666069, -0.10675623942131451, -0.10704859950381986, -0.10730187894595701, -0.10752123698340496, -0.1077111812844879
DUTCH: kunt, 0.0, -5.99999999999999E-5, -3.199207399999997E-4, -8.538716005855318E-4, -0.0016980588154052317, -0.0028676487313300933, -0.004366918909659584, -0.006195176475309573, -0.008349908375690968, -0.01082805060893689, -0.013625934723612225, -0.01673829562682559, -0.020156652890569313, -0.023867373165248028, -0.027849751931563506, -0.03207448321860017, -0.03650287835597699, -0.04108711823983864, -0.045771667568430485, -0.050495765662962176, -0.05519668947363027, -0.05981332575950125, -0.0642895411165108, -0.0685769114008404, -0.0726365343063671, -0.07643984317778794, -0.07996851045217288, -0.0832136405314451, -0.08617449643181212, -0.08885699458440062, -0.09127215892344717, -0.09343466940907758, -0.09536158610014213, -0.09707128576050894, -0.09858261629367805, -0.0999142542618584, -0.10108424002063068, -0.10210966091123738, -0.10300645311839557, -0.10378929537974103, -0.10447157143366233, -0.10506538208918664, -0.1055815916148479, -0.10602989653063227, -0.10641890775666069, -0.10675623942131451, -0.10704859950381986, -0.10730187894595701, -0.10752123698340496, -0.1077111812844879
ENGLISH: fund, 0.0, -5.999999999999988E-5, -3.1992073999999977E-4, -8.702123931645635E-4, -0.0017730166930409784, -0.0030746605076086213, -0.004812704668384394, -0.007019383128525519, -0.009722500580624259, -0.012944444987304215, -0.01669978592790121, -0.02099190141585781, -0.025809156042894785, -0.0311212885797041, -0.03687678668940533, -0.0430020442864292, -0.04940293449222119, -0.05596905512922074, -0.06258036456963316, -0.0691153643810607, -0.07545958905202502, -0.08151308167029557, -0.08719580082064904, -0.09245041483007523, -0.09724250918112781, -0.10155868495787902, -0.10540326405546896, -0.10879434007744765, -0.11175978697902683, -0.11433364393427081, -0.11655310213191908, -0.1184561655574854, -0.12007995526892286, -0.12145957053930742, -0.12262739871450225, -0.1236127661504393, -0.12444183491279949, -0.12513766694780068, -0.12572039487988815, -0.1262074542435835, -0.12661384493483066, -0.1269523998635499, -0.12723404647836364, -0.12746805243834797, -0.1276622506646898, -0.12782324171257886, -0.12795657318886094, -0.1280668970631951, -0.12815810637729677, -0.128233453194951
DUTCH: kont, 0.0, -5.99999999999999E-5, -3.199207399999997E-4, -8.761500530446282E-4, -0.0017999388689350132, -0.003148183963929542, -0.004969315876944068, -0.007305842038658515, -0.010194448281887605, -0.013664229346248464, -0.01773349811620991, -0.022405656238907317, -0.027664746968854178, -0.03347149214490551, -0.03976075163361156, -0.04644133080136787, -0.05339881052183246, -0.0605015620805604, -0.06760942301211245, -0.07458384482006408, -0.08129791570916371, -0.08764467522144712, -0.09354257465816498, -0.09893763062267465, -0.10380252053619694, -0.10813336925220153, -0.11194518394467146, -0.11526684101603867, -0.11813631470746826, -0.12059657167825034, -0.12269231747569015, -0.12446760690911589, -0.12596422593329593, -0.1272207050924606, -0.12827181569234608, -0.1291484130474936, -0.1298775141433617, -0.13048252213068742, -0.13098353307683724, -0.13139767957657392, -0.1317394808225169, -0.13202117991719609, -0.13225305722053562, -0.13244371406053032, -0.13260032481401354, -0.13272885770210202, -0.13283426604078832, -0.1329206524403337, -0.13299140877478696, -0.13304933479896827
ENGLISH: anns, 0.0, -1.6999999999999985E-4, -6.424379624999999E-4, -0.0014991122515882677, -0.002792841049441723, -0.004560219563963346, -0.006828762479925568, -0.009620307148538853, -0.012951780388225136, -0.016834023879221765, -0.021269197639810125, -0.026247266097192034, -0.031742163036001185, -0.03770836942812696, -0.04407874219419339, -0.05076440960338353, -0.057657321911221686, -0.06463559341399862, -0.07157116916240702, -0.07833876564138414, -0.08482467568703461, -0.09093403857910591, -0.09659556017622274, -0.10176328067773807, -0.10641561095551876, -0.11055230627266974, -0.11419023546787346, -0.11735875909490838, -0.12009533986413193, -0.1224417703993299, -0.12444118769135307, -0.12613588521996083, -0.12756583791787396, -0.12876781107173244, -0.12977491565923926, -0.13061648446629048, -0.13131816439538718, -0.13190214352164337, -0.13238745278727282, -0.13279030007246514, -0.13312440837660539, -0.13340134030015977, -0.13363079851977502, -0.13382089713324585, -0.13397840219492627, -0.13410894194473025, -0.13421718852957065, -0.1343070137062118, -0.13438162130392678, -0.1344436592595027
ENGLISH: anna, 0.0, -1.6999999999999985E-4, -6.424379624999999E-4, -0.0014991122515882677, -0.002792841049441723, -0.004560219563963346, -0.006828762479925568, -0.009620307148538853, -0.012951780388225136, -0.016834023879221765, -0.021269197639810125, -0.026247266097192034, -0.031742163036001185, -0.03770836942812696, -0.04407874219419339, -0.05076440960338353, -0.057657321911221686, -0.06463559341399862, -0.07157116916240702, -0.07833876564138414, -0.08482467568703461, -0.09093403857910591, -0.09659556017622274, -0.10176328067773807, -0.10641561095551876, -0.11055230627266974, -0.11419023546787346, -0.11735875909490838, -0.12009533986413193, -0.1224417703993299, -0.12444118769135307, -0.12613588521996083, -0.12756583791787396, -0.12876781107173244, -0.12977491565923926, -0.13061648446629048, -0.13131816439538718, -0.13190214352164337, -0.13238745278727282, -0.13279030007246514, -0.13312440837660539, -0.13340134030015977, -0.13363079851977502, -0.13382089713324585, -0.13397840219492627, -0.13410894194473025, -0.13421718852957065, -0.1343070137062118, -0.13438162130392678, -0.1344436592595027
ENGLISH: anne, 0.0, -1.6999999999999985E-4, -6.424379624999999E-4, -0.0014991122515882677, -0.002792841049441723, -0.004560219563963346, -0.006828762479925568, -0.009620307148538853, -0.012951780388225136, -0.016834023879221765, -0.021269197639810125, -0.026247266097192034, -0.031742163036001185, -0.03770836942812696, -0.04407874219419339, -0.05076440960338353, -0.057657321911221686, -0.06463559341399862, -0.07157116916240702, -0.07833876564138414, -0.08482467568703461, -0.09093403857910591, -0.09659556017622274, -0.10176328067773807, -0.10641561095551876, -0.11055230627266974, -0.11419023546787346, -0.11735875909490838, -0.12009533986413193, -0.1224417703993299, -0.12444118769135307, -0.12613588521996083, -0.12756583791787396, -0.12876781107173244, -0.12977491565923926, -0.13061648446629048, -0.13131816439538718, -0.13190214352164337, -0.13238745278727282, -0.13279030007246514, -0.13312440837660539, -0.13340134030015977, -0.13363079851977502, -0.13382089713324585, -0.13397840219492627, -0.13410894194473025, -0.13421718852957065, -0.1343070137062118, -0.13438162130392678, -0.1344436592595027
