aunt	0	0.0196	0.01474163	0.071568017	0.077985938	0.140403304	0.185990028	0.237177369	0.290310396	0.344109801	0.397242506	0.448537164	0.496725892	0.540432592	0.579108853	0.612684662	0.641380829	0.665591361	0.685801607	0.70252951	0.716284645	0.727541825	0.736726309	0.744207722	0.74987596	0.753887906	0.756748187	0.758799756	0.760278703	0.761349339	0.762127095	0.762693724	0.763107521	0.7634103	0.763632203	0.763795047	0.763914679	0.764002642	0.764067366	0.764115018	0.764150117	0.76417598	0.764195044	0.764209099	0.764219463	0.764227107	0.764232746	0.764236906	0.764239975	0.764242239
munt	0	0.0119	0.004325401	0.039103971	0.031364264	0.059794496	0.065310088	0.07079495	0.073495889	0.073291116	0.070171836	0.065010321	0.059385644	0.053253148	0.046762936	0.04012543	0.03354531	0.027191412	0.021186933	0.015610782	0.010504265	0.005879547	0.001727858	-0.001973473	-0.005501681	-0.008986405	-0.012331587	-0.015486372	-0.018427528	-0.02114845	-0.023652342	-0.02594799	-0.028047167	-0.029963025	-0.031709126	-0.033298857	-0.034745092	-0.036060006	-0.03725498	-0.038340576	-0.039326538	-0.04022182	-0.041034627	-0.04177246	-0.042442164	-0.04304998	-0.043601591	-0.044102167	-0.044556411	-0.044968597
punt	0	0.0119	0.004325401	0.039103971	0.031364264	0.059794496	0.065310088	0.07079495	0.073495889	0.073291116	0.070171836	0.065010321	0.059385644	0.053253148	0.046762936	0.04012543	0.03354531	0.027191412	0.021186933	0.015610782	0.010504265	0.005879547	0.001727858	-0.001973473	-0.005501681	-0.008986405	-0.012331587	-0.015486372	-0.018427528	-0.02114845	-0.023652342	-0.02594799	-0.028047167	-0.029963025	-0.031709126	-0.033298857	-0.034745092	-0.036060006	-0.03725498	-0.038340576	-0.039326538	-0.04022182	-0.041034627	-0.04177246	-0.042442164	-0.04304998	-0.043601591	-0.044102167	-0.044556411	-0.044968597
kunt	0	0.0119	0.004325401	0.039103971	0.031364264	0.059794496	0.065310088	0.07079495	0.073495889	0.073291116	0.070171836	0.065010321	0.059385644	0.053253148	0.046762936	0.04012543	0.03354531	0.027191412	0.021186933	0.015610782	0.010504265	0.005879547	0.001727858	-0.001973473	-0.005501681	-0.008986405	-0.012331587	-0.015486372	-0.018427528	-0.02114845	-0.023652342	-0.02594799	-0.028047167	-0.029963025	-0.031709126	-0.033298857	-0.034745092	-0.036060006	-0.03725498	-0.038340576	-0.039326538	-0.04022182	-0.041034627	-0.04177246	-0.042442164	-0.04304998	-0.043601591	-0.044102167	-0.044556411	-0.044968597
hunt	0	0.0119	0.004325401	0.039103971	0.031364264	0.059794496	0.065310088	0.07079495	0.073495889	0.073291116	0.070171836	0.065010321	0.059385644	0.053253148	0.046762936	0.04012543	0.03354531	0.027191412	0.021186933	0.015610782	0.010504265	0.005879547	0.001727858	-0.001973473	-0.005501681	-0.008986405	-0.012331587	-0.015486372	-0.018427528	-0.02114845	-0.023652342	-0.02594799	-0.028047167	-0.029963025	-0.031709126	-0.033298857	-0.034745092	-0.036060006	-0.03725498	-0.038340576	-0.039326538	-0.04022182	-0.041034627	-0.04177246	-0.042442164	-0.04304998	-0.043601591	-0.044102167	-0.044556411	-0.044968597
wint	0	0.0042	-0.005845367	0.003620546	-0.00857797	-0.011092577	-0.01969591	-0.028875635	-0.038737924	-0.048796717	-0.058612484	-0.067810531	-0.076185594	-0.083726148	-0.09038644	-0.096147724	-0.101031217	-0.105092017	-0.108407434	-0.111065707	-0.113157283	-0.114768954	-0.11598044	-0.116862738	-0.11761549	-0.118344551	-0.119017953	-0.119621587	-0.120151844	-0.120611016	-0.121004469	-0.121338936	-0.121621513	-0.12185909	-0.122058052	-0.122224144	-0.122362429	-0.122477308	-0.122572563	-0.122651422	-0.122716616	-0.12277045	-0.122814858	-0.122851456	-0.122881594	-0.122906396	-0.122926793	-0.122943559	-0.122957334	-0.122968645
kont	0	0.0042	-0.005845367	0.003620546	-0.00857797	-0.011092577	-0.01969591	-0.028875635	-0.038737924	-0.048796717	-0.058612484	-0.067810531	-0.076185594	-0.083726148	-0.09038644	-0.096147724	-0.101031217	-0.105092017	-0.108407434	-0.111065707	-0.113157283	-0.114768954	-0.11598044	-0.116862738	-0.11761549	-0.118344551	-0.119017953	-0.119621587	-0.120151844	-0.120611016	-0.121004469	-0.121338936	-0.121621513	-0.12185909	-0.122058052	-0.122224144	-0.122362429	-0.122477308	-0.122572563	-0.122651422	-0.122716616	-0.12277045	-0.122814858	-0.122851456	-0.122881594	-0.122906396	-0.122926793	-0.122943559	-0.122957334	-0.122968645
vent	0	0.0042	-0.005845367	0.003620546	-0.00857797	-0.011092577	-0.01969591	-0.028875635	-0.038737924	-0.048796717	-0.058612484	-0.067810531	-0.076185594	-0.083726148	-0.09038644	-0.096147724	-0.101031217	-0.105092017	-0.108407434	-0.111065707	-0.113157283	-0.114768954	-0.11598044	-0.116862738	-0.11761549	-0.118344551	-0.119017953	-0.119621587	-0.120151844	-0.120611016	-0.121004469	-0.121338936	-0.121621513	-0.12185909	-0.122058052	-0.122224144	-0.122362429	-0.122477308	-0.122572563	-0.122651422	-0.122716616	-0.12277045	-0.122814858	-0.122851456	-0.122881594	-0.122906396	-0.122926793	-0.122943559	-0.122957334	-0.122968645
kant	0	0.0042	-0.005845367	0.003620546	-0.00857797	-0.011092577	-0.01969591	-0.028875635	-0.038737924	-0.048796717	-0.058612484	-0.067810531	-0.076185594	-0.083726148	-0.09038644	-0.096147724	-0.101031217	-0.105092017	-0.108407434	-0.111065707	-0.113157283	-0.114768954	-0.11598044	-0.116862738	-0.11761549	-0.118344551	-0.119017953	-0.119621587	-0.120151844	-0.120611016	-0.121004469	-0.121338936	-0.121621513	-0.12185909	-0.122058052	-0.122224144	-0.122362429	-0.122477308	-0.122572563	-0.122651422	-0.122716616	-0.12277045	-0.122814858	-0.122851456	-0.122881594	-0.122906396	-0.122926793	-0.122943559	-0.122957334	-0.122968645
lent	0	0.0042	-0.005845367	0.003620546	-0.00857797	-0.011092577	-0.01969591	-0.028875635	-0.038737924	-0.048796717	-0.058612484	-0.067810531	-0.076185594	-0.083726148	-0.09038644	-0.096147724	-0.101031217	-0.105092017	-0.108407434	-0.111065707	-0.113157283	-0.114768954	-0.11598044	-0.116862738	-0.11761549	-0.118344551	-0.119017953	-0.119621587	-0.120151844	-0.120611016	-0.121004469	-0.121338936	-0.121621513	-0.12185909	-0.122058052	-0.122224144	-0.122362429	-0.122477308	-0.122572563	-0.122651422	-0.122716616	-0.12277045	-0.122814858	-0.122851456	-0.122881594	-0.122906396	-0.122926793	-0.122943559	-0.122957334	-0.122968645
